ticker,name,sector,last,chg,pct,volume
LBRT,LIBERTY ENERGY INC A A,Energy,21.40,0.81,3.93,3139943
SHEL,SHELL PLC ADR,Energy,95.32,2.37,2.55,7422096
BP,BP P L C ADR,Energy,44.88,1.07,2.44,6115236
CRC,CALIFORNIA RES CORP,Energy,55.57,1.35,2.49,1119879
BKV,BKV CORP EQUITY Equity,Energy,26.76,0.70,2.69,1021521
WMB,WILLIAMS COS INC,Energy,75.83,1.68,2.27,6959469
AM,ANTERO MIDSTREAM COR,Energy,22.90,0.30,1.33,1913179
NTR,NUTRIEN LTD,Materials,80.68,1.21,1.52,3125609
CECO,CECO ENVIRONMENTAL C,Industrials,79.13,5.03,6.79,640687
RSI,RUSH STREET INTERACT A,Consumer Discretionary,27.02,0.34,1.27,5874139
ASND,ASCENDIS PHARMA A/S,Health Care,270.09,-0.47,-0.17,629887
DB,DEUTSCHE BANK AG N,Financials,41.06,-0.27,-0.65,1233750
SEDG,SOLAREDGE TECHNOLOGI,Information Technology,36.43,2.23,6.52,4212727
QRVO,QORVO INC,Information Technology,104.07,1.23,1.20,1427318
SATS,ECHOSTAR CORP Class A,Communication Services,93.42,3.62,4.03,4298152
