ticker,name,sector,last,chg,pct,volume
SHEL,SHELL PLC ADR,Energy,92.33,-0.47,-0.51%,5350899
RRC,RANGE RES CORP,Energy,42.37,-0.11,-0.26%,2304876
MUR,MURPHY OIL CORP,Energy,37.32,-0.37,-0.98%,1178228
CNX,CNX RES CORP,Energy,37.77,0.19,0.51%,1295151
AR,ANTERO RES CORP,Energy,39.69,0.10,0.25%,2469821
LNG,CHENIERE ENERGY INC,Energy,290.85,-5.01,-1.69%,2428202
EPD,ENTERPRISE PRODS PAR,Energy,39.17,-0.19,-0.48%,2198094
NTR,NUTRIEN LTD,Materials,80.73,0.44,0.55%,2873682
CTVA,CORTEVA INC,Materials,88.62,-1.35,-1.50%,5327238
FLR,FLUOR CORP NEW,Industrials,57.50,0.90,1.59%,2867041
LEA,LEAR CORP,Consumer Discretionary,131.05,1.45,1.12%,487541
HMC,HONDA MTR LTD ADR,Consumer Discretionary,33.04,0.60,1.85%,879836
DG,DOLLAR GEN CORP NEW,Consumer Staples,131.26,0.37,0.28%,1718708
MO,ALTRIA GROUP INC,Consumer Staples,69.49,-0.07,-0.10%,5175354
SOLV,SOLVENTUM CORP,Health Care,92.44,0.54,0.59%,784202
COR,CENCORA INC Series A,Health Care,337.22,0.86,0.26%,1080404
CVS,CVS HEALTH CORP,Health Care,97.20,-0.03,-0.03%,4770695
CNC,CENTENE CORP DEL,Health Care,68.02,0.68,1.01%,3570213
GILD,GILEAD SCIENCES INC,Health Care,151.22,1.61,1.08%,4485858
ASND,ASCENDIS PHARMA A/S,Health Care,271.12,3.81,1.43%,1015978
NVS,NOVARTIS AG ADR,Health Care,163.09,0.63,0.39%,2453021
HRMY,HARMONY BIOSCIENCES,Health Care,41.86,-1.00,-2.33%,1100592
BMY,BRISTOL MYERS SQUIBB,Health Care,68.09,0.43,0.64%,6160055
RVTY,REVVITY INC,Health Care,130.63,-0.31,-0.24%,1779315
IQV,IQVIA HLDGS INC,Health Care,271.62,7.78,2.95%,1983954
CRBG,COREBRIDGE FINL INC,Financials,34.75,1.21,3.61%,3232500
MTG,MGIC INVT CORP WIS,Financials,31.47,0.43,1.39%,1075777
RELY,REMITLY GLOBAL INC,Financials,26.92,0.10,0.37%,3824877
DB,DEUTSCHE BANK AG N,Financials,41.56,1.06,2.62%,2415876
UNM,UNUM GROUP,Financials,96.57,3.77,4.06%,1339645
MET,METLIFE INC,Financials,99.23,2.81,2.91%,3345072
FAF,FIRST AMERN FINL COR,Financials,76.51,2.46,3.32%,589231
SPNT,SIRIUSPOINT LTD,Financials,24.84,0.52,2.14%,476138
DBX,DROPBOX INC COM CL A,Information Technology,35.70,1.20,3.48%,3286881
BOX,BOX INC A,Information Technology,35.96,1.37,3.96%,2419077
TDC,TERADATA CORP DEL,Information Technology,28.79,0.53,1.88%,2462420
HPQ,HP INC,Information Technology,31.93,-0.06,-0.19%,13803011
QRVO,QORVO INC,Information Technology,100.38,-0.25,-0.25%,1071474
VZ,VERIZON COMMUNICATIO,Communication Services,50.59,0.37,0.74%,17994778
RCI,ROGERS COMMUNICATION,Communication Services,38.00,1.35,3.68%,982015
SIRI,SIRIUSXM HLDGS INC E Equity,Communication Services,29.77,0.07,0.24%,4937959
MTCH,MATCH GROUP INC NEW,Communication Services,42.43,-0.01,-0.02%,3472716
WTRG,ESSENTIAL UTILS INC,Utilities,41.87,0.32,0.77%,2875583
